#Freq[Hz]	U_ges[V]	U_LR	U_C[V]	I[mA]	Phase
#Fehler:	0.01V	2%		2°
50	9.19	0.88	9.88	5.5		-74
99	9.42	3.78	12.96	14.5	-107
153	9.46	16.42	25.08	42.9	-69.5
167	9.43	26.10	33.9	63		-60
183	9.31	46.6	50.2	103.8	-24
191	9.26	53.4	52.9	114		1
203	9.35	47.1	41.25	94.6	35.5
217	9.43	35.3	27.19	65.8	55
250	9.47	22.16	12.96	36.1	70
296	9.48	16.16	6.73	22.3	75.6
347	9.48	13.6	4.11	16.1	81
395	9.47	12.38	2.939	12.8	80.8
448	9.47	11.59	2.147	10.6	82.5
502	9.46	11.08	1.633	9.0		81.3
554	9.44	10.73	1.303	7.9		83
595	9.44	10.54	1.108	7.2		83	
